îN,åé,ì˙,ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé)
2009,1,1,6.1,8
2009,1,2,7.3,8
2009,1,3,7.9,8
2009,1,4,9.6,8
2009,1,5,10.3,8
2009,1,6,9.9,8
2009,1,7,8.7,8
2009,1,8,10.1,8
2009,1,9,9,8
2009,1,10,6.5,8
2009,1,11,6.8,8
2009,1,12,5.2,8
2009,1,13,5.6,8
2009,1,14,7.4,8
2009,1,15,5.3,8
2009,1,16,8.1,8
2009,1,17,9.5,8
2009,1,18,6.3,8
2009,1,19,10.4,8
2009,1,20,8.8,8
2009,1,21,6.6,8
2009,1,22,7.1,8
2009,1,23,10.9,8
2009,1,24,4.3,8
2009,1,25,6.9,8
2009,1,26,7.1,8
2009,1,27,9.5,8
2009,1,28,9.5,8
2009,1,29,11.8,8
2009,1,30,13.2,8
2009,1,31,12.5,8
2009,2,1,7.4,8
2009,2,2,8.9,8
2009,2,3,7.8,8
2009,2,4,10.6,8
2009,2,5,12.3,8
2009,2,6,9.4,8
2009,2,7,11.1,8
2009,2,8,10,8
2009,2,9,7.7,8
2009,2,10,10.9,8
2009,2,11,12,8
2009,2,12,13.9,8
2009,2,13,11.7,8
2009,2,14,17.7,8
2009,2,15,16.1,8
2009,2,16,10.3,8
2009,2,17,5,8
2009,2,18,8.4,8
2009,2,19,6.1,8
2009,2,20,11.1,8
2009,2,21,7.5,8
2009,2,22,6.9,8
2009,2,23,10.6,8
2009,2,24,8.6,8
2009,2,25,12.2,8
2009,2,26,11.1,8
2009,2,27,7,8
2009,2,28,13.3,8
2009,3,1,14.1,8
2009,3,2,7.7,8
2009,3,3,5.2,8
2009,3,4,10.2,8
2009,3,5,13.6,8
2009,3,6,13.2,8
2009,3,7,11.4,8
2009,3,8,12.4,8
2009,3,9,10.6,8
2009,3,10,14.6,8
2009,3,11,10,8
2009,3,12,11.1,8
2009,3,13,10.2,8
2009,3,14,12.6,8
2009,3,15,12.7,8
2009,3,16,15,8
2009,3,17,19.3,8
2009,3,18,22.5,8
2009,3,19,22.2,8
2009,3,20,16,8
2009,3,21,18,8
2009,3,22,16.5,8
2009,3,23,12.3,8
2009,3,24,13.5,8
2009,3,25,13.6,8
2009,3,26,10.7,8
2009,3,27,12.2,8
2009,3,28,10,8
2009,3,29,10.6,8
2009,3,30,14,8
2009,3,31,16.8,8
2009,4,1,14.7,8
2009,4,2,11.9,8
2009,4,3,17.2,8
2009,4,4,10,8
2009,4,5,17.3,8
2009,4,6,18.3,8
2009,4,7,20.5,8
2009,4,8,22,8
2009,4,9,23.4,8
2009,4,10,25.9,8
2009,4,11,25.6,8
2009,4,12,25.1,8
2009,4,13,25,8
2009,4,14,17.3,8
2009,4,15,18.9,8
2009,4,16,18.5,8
2009,4,17,18.6,8
2009,4,18,24.8,8
2009,4,19,25.5,8
2009,4,20,21.5,8
